C:\Users\Zver>jps
3976 RemoteMavenServer36
4956 gc-demo.jar

C:\Users\Zver>jmap -histo 4956
 num     #instances         #bytes  class name (module)
  88:             3             96  java.lang.Runtime$Version (java.base@16.0.1)
  89:             3             96  java.lang.invoke.MethodHandles$Lookup (java.base@16.0.1)
  90:             4             96  java.lang.module.ModuleDescriptor$Modifier (java.base@16.0.1)
  91:             4             96  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@16.0.1)
  92:             2             96  java.util.WeakHashMap (java.base@16.0.1)
  93:             2             96  sun.nio.cs.StreamEncoder (java.base@16.0.1)
  94:             5             88  [Ljava.lang.Class; (java.base@16.0.1)
  95:             1             88  java.lang.reflect.Method (java.base@16.0.1)
  96:             2             80  [Ljava.lang.OutOfMemoryError; (java.base@16.0.1)
  97:             1             80  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@16.0.1)
  98:             1             80  [Ljava.lang.reflect.Field; (java.base@16.0.1)
  99:             5             80  [Ljava.security.Principal; (java.base@16.0.1)
 100:             2             80  java.io.BufferedWriter (java.base@16.0.1)
 101:             2             80  java.io.PrintStream (java.base@16.0.1)
 102:             2             80  java.lang.ModuleLayer (java.base@16.0.1)
 103:             5             80  java.lang.ThreadLocal (java.base@16.0.1)
 104:             2             80  java.lang.module.Configuration (java.base@16.0.1)
 105:             5             80  java.security.ProtectionDomain$Key (java.base@16.0.1)
 106:             1             80  java.util.zip.ZipFile$Source (java.base@16.0.1)
 107:             2             80  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@16.0.1)
 108:             3             72  java.util.ArrayDeque (java.base@16.0.1)
 109:             3             72  java.util.Collections$SetFromMap (java.base@16.0.1)
 110:             2             64  java.io.BufferedOutputStream (java.base@16.0.1)
 111:             2             64  java.io.FileOutputStream (java.base@16.0.1)
 112:             2             64  java.lang.ref.ReferenceQueue$Null (java.base@16.0.1)
 113:             2             64  java.lang.ref.WeakReference (java.base@16.0.1)
 114:             1             64  java.util.zip.Inflater (java.base@16.0.1)
 115:             2             64  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@16.0.1)
 116:             2             64  sun.nio.fs.NativeBuffer (java.base@16.0.1)
 117:             1             64  sun.nio.fs.WindowsFileAttributes (java.base@16.0.1)
 118:             1             56  [Ljava.nio.file.StandardOpenOption; (java.base@16.0.1)
 119:             1             56  java.io.FileCleanable (java.base@16.0.1)
 120:             1             56  java.util.LinkedHashMap (java.base@16.0.1)
 121:             1             56  java.util.Properties (java.base@16.0.1)
 122:             1             56  java.util.jar.JarFile (java.base@16.0.1)
 123:             2             48  [Ljava.lang.reflect.Constructor; (java.base@16.0.1)
 124:             2             48  [Ljava.security.ProtectionDomain; (java.base@16.0.1)
 125:             1             48  [Ljava.util.concurrent.TimeUnit; (java.base@16.0.1)
 126:             2             48  java.io.File$PathStatus (java.base@16.0.1)
 127:             2             48  java.io.OutputStreamWriter (java.base@16.0.1)
 128:             1             48  java.lang.NullPointerException (java.base@16.0.1)
 129:             2             48  java.lang.StringCoding$Result (java.base@16.0.1)
 130:             3             48  java.nio.charset.CodingErrorAction (java.base@16.0.1)
 131:             3             48  java.util.Optional (java.base@16.0.1)
 132:             1             48  jdk.internal.loader.URLClassPath$JarLoader (java.base@16.0.1)
 133:             2             48  jdk.internal.misc.Signal (java.base@16.0.1)
 134:             2             48  jdk.internal.misc.Signal$NativeHandler (java.base@16.0.1)
 135:             3             48  jdk.internal.module.ServicesCatalog (java.base@16.0.1)
 136:             1             48  sun.nio.cs.SingleByte$Decoder (java.base@16.0.1)
 137:             2             48  sun.nio.fs.NativeBuffer$Deallocator (java.base@16.0.1)
 138:             1             40  [Lsun.nio.fs.WindowsPathType; (java.base@16.0.1)
 139:             1             40  java.io.BufferedInputStream (java.base@16.0.1)
 140:             1             40  java.lang.ArithmeticException (java.base@16.0.1)
 141:             1             40  java.lang.Package$VersionInfo (java.base@16.0.1)
 142:             1             40  java.lang.VirtualMachineError (java.base@16.0.1)
 143:             1             40  java.util.IdentityHashMap (java.base@16.0.1)
 144:             1             40  jdk.internal.loader.NativeLibraries$2 (java.base@16.0.1)
 145:             1             40  jdk.internal.loader.URLClassPath (java.base@16.0.1)
 146:             1             40  jdk.internal.ref.CleanerImpl$CleanerCleanable (java.base@16.0.1)
 147:             1             40  sun.nio.cs.StandardCharsets$Aliases (java.base@16.0.1)
 148:             1             40  sun.nio.cs.StandardCharsets$Cache (java.base@16.0.1)
 149:             1             40  sun.nio.cs.StandardCharsets$Classes (java.base@16.0.1)
 150:             1             40  sun.nio.fs.WindowsPath (java.base@16.0.1)
 151:             2             32  [Ljava.lang.StackTraceElement; (java.base@16.0.1)
 152:             1             32  [Ljava.lang.ThreadGroup; (java.base@16.0.1)
 153:             1             32  [Ljava.lang.module.ModuleDescriptor$Modifier; (java.base@16.0.1)
 154:             1             32  [Ljava.lang.module.ModuleDescriptor$Requires$Modifier; (java.base@16.0.1)
 155:             1             32  [Ljdk.internal.module.ServicesCatalog; (java.base@16.0.1)
 156:             1             32  [Lsun.nio.fs.NativeBuffer; (java.base@16.0.1)
 157:             1             32  java.io.File (java.base@16.0.1)
 158:             1             32  java.io.FileInputStream (java.base@16.0.1)
 159:             1             32  java.io.RandomAccessFile (java.base@16.0.1)
 160:             1             32  java.io.WinNTFileSystem (java.base@16.0.1)
 161:             2             32  java.lang.Boolean (java.base@16.0.1)
 162:             1             32  java.lang.Module$ArchivedData (java.base@16.0.1)
 163:             1             32  java.lang.Package (java.base@16.0.1)
 164:             1             32  java.lang.StringCoding$StringDecoder (java.base@16.0.1)
 165:             1             32  java.lang.StringCoding$StringEncoder (java.base@16.0.1)
 166:             1             32  java.lang.module.ModuleDescriptor$Version (java.base@16.0.1)
 167:             2             32  java.nio.ByteOrder (java.base@16.0.1)
 168:             1             32  java.util.Collections$UnmodifiableMap (java.base@16.0.1)
 169:             1             32  java.util.Random (java.base@16.0.1)
 170:             2             32  java.util.WeakHashMap$KeySet (java.base@16.0.1)
 171:             2             32  java.util.concurrent.atomic.AtomicInteger (java.base@16.0.1)
 172:             1             32  java.util.zip.ZipCoder$UTF8ZipCoder (java.base@16.0.1)
 173:             1             32  java.util.zip.ZipFile$CleanableResource (java.base@16.0.1)
 174:             1             32  jdk.internal.loader.ArchivedClassLoaders (java.base@16.0.1)
 175:             2             32  jdk.internal.loader.ClassLoaderValue (java.base@16.0.1)
 176:             1             32  jdk.internal.module.ArchivedModuleGraph (java.base@16.0.1)
 177:             2             32  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@16.0.1)
 178:             1             32  sun.util.locale.BaseLocale$Key (java.base@16.0.1)
 179:             1             24  [Ljava.io.File$PathStatus; (java.base@16.0.1)
 180:             1             24  [Ljava.lang.reflect.Method; (java.base@16.0.1)
 181:             1             24  [Ljava.net.URL; (java.base@16.0.1)
 182:             1             24  [Ljava.util.jar.Manifest; (java.base@16.0.1)
 183:             1             24  java.lang.RuntimePermission (java.base@16.0.1)
 184:             1             24  java.lang.StringBuilder (java.base@16.0.1)
 185:             1             24  java.lang.ThreadLocal$ThreadLocalMap (java.base@16.0.1)
 186:             1             24  java.lang.reflect.ReflectPermission (java.base@16.0.1)
 187:             1             24  java.security.BasicPermissionCollection (java.base@16.0.1)
 188:             1             24  java.security.Permissions (java.base@16.0.1)
 189:             1             24  java.util.Collections$EmptyMap (java.base@16.0.1)
 190:             1             24  java.util.Locale$Cache (java.base@16.0.1)
 191:             1             24  java.util.jar.Manifest (java.base@16.0.1)
 192:             1             24  java.util.zip.Inflater$InflaterZStreamRef (java.base@16.0.1)
 193:             1             24  java.util.zip.ZipFile$Source$Key (java.base@16.0.1)
 194:             1             24  jdk.internal.module.ModuleHashes (java.base@16.0.1)
 195:             1             24  jdk.internal.module.SystemModuleFinders$SystemModuleFinder (java.base@16.0.1)
 196:             1             24  jdk.internal.ref.CleanerImpl (java.base@16.0.1)
 197:             1             24  sun.nio.cs.IBM866 (java.base@16.0.1)
 198:             1             24  sun.nio.cs.ISO_8859_1 (java.base@16.0.1)
 199:             1             24  sun.nio.cs.MS1251 (java.base@16.0.1)
 200:             1             24  sun.nio.cs.StandardCharsets (java.base@16.0.1)
 201:             1             24  sun.nio.cs.US_ASCII (java.base@16.0.1)
 202:             1             24  sun.nio.cs.UTF_16 (java.base@16.0.1)
 203:             1             24  sun.nio.cs.UTF_16BE (java.base@16.0.1)
 204:             1             24  sun.nio.cs.UTF_16LE (java.base@16.0.1)
 205:             1             24  sun.nio.cs.UTF_8 (java.base@16.0.1)
 206:             1             24  sun.nio.fs.WindowsFileSystem (java.base@16.0.1)
